Week Start Date,Product ID,Product Name,Units Sold,Price ($),Discount Percentage,Revenue ($),Region
2024-01-07,1,Sofa,45,780.35,28.77,25012.95,USA
2024-01-07,2,Dining Table,42,354.24,0.0,14878.08,USA
2024-01-07,3,Chair,9,700.73,0.0,6306.57,USA
2024-01-07,4,Bed Frame,37,1457.9,0.0,53942.3,USA
2024-01-07,5,Nightstand,43,1254.09,0.0,53925.87,USA
2024-01-07,6,Bookshelf,48,617.9,0.0,29659.2,USA
2024-01-07,7,TV Stand,72,1948.82,0.0,140315.04,USA
2024-01-07,8,Coffee Table,16,1052.76,0.0,16844.16,USA
2024-01-07,9,Recliner,32,382.52,6.63,11429.09,USA
2024-01-07,10,Dresser,36,1626.37,0.0,58549.32,USA
2024-01-07,11,Wardrobe,18,520.0,0.0,9360.0,USA
2024-01-07,12,Office Desk,66,117.06,0.0,7725.96,USA
2024-01-07,13,Computer Chair,12,1522.95,0.0,18275.4,USA
2024-01-07,14,Futon,68,410.47,29.24,19750.5,USA
2024-01-07,15,End Table,34,820.54,28.17,20039.39,USA
2024-01-07,16,Bar Stool,66,222.56,0.0,14688.96,USA
2024-01-07,17,Patio Set,42,1696.84,0.0,71267.28,USA
2024-01-07,18,Sideboard,67,745.67,0.0,49959.89,USA
2024-01-07,19,Loveseat,19,627.73,0.0,11926.87,USA
2024-01-07,20,Chaise Lounge,22,1555.88,0.0,34229.36,USA
2024-01-07,21,Sectional Sofa,16,437.74,22.78,5408.37,USA
2024-01-07,22,File Cabinet,23,1856.29,21.28,33609.24,USA
2024-01-07,23,Console Table,40,1265.43,0.0,50617.2,USA
2024-01-07,24,Bench,39,1354.24,0.0,52815.36,USA
2024-01-07,25,Hutch,27,1780.06,0.0,48061.62,USA
2024-01-07,26,Buffet,27,1705.38,0.0,46045.26,USA
2024-01-07,27,Storage Ottoman,69,1012.9,0.0,69890.1,USA
2024-01-07,28,Accent Chair,64,906.71,10.04,52203.28,USA
2024-01-07,29,Bunk Bed,28,1406.26,0.0,39375.28,USA
2024-01-07,30,Mattress,39,1523.32,0.0,59409.48,USA
2024-01-07,31,Headboard,15,1766.91,0.0,26503.65,USA
2024-01-07,32,Room Divider,22,940.24,0.0,20685.28,USA
2024-01-07,33,Floating Shelves,55,682.47,0.0,37535.85,USA
2024-01-07,34,Kitchen Island,25,580.66,0.0,14516.5,USA
2024-01-07,35,Rolling Cart,19,1728.42,0.0,32839.98,USA
2024-01-07,36,Foldable Table,42,995.42,0.0,41807.64,USA
2024-01-07,37,Standing Desk,67,1888.67,0.0,126540.89,USA
2024-01-07,38,Ladder Shelf,24,837.48,0.0,20099.52,USA
2024-01-07,39,Bookcase,31,540.98,0.0,16770.38,USA
2024-01-07,40,Vanity Table,40,570.22,0.0,22808.8,USA
2024-01-07,41,Makeup Chair,9,593.36,0.0,5340.24,USA
2024-01-07,42,Chest of Drawers,12,1085.32,0.0,13023.84,USA
2024-01-07,43,Entryway Table,63,207.66,0.0,13082.58,USA
2024-01-07,44,Hall Tree,22,767.18,0.0,16877.96,USA
2024-01-07,45,Gaming Chair,15,1642.04,0.0,24630.6,USA
2024-01-07,46,Bean Bag,60,1406.83,0.0,84409.8,USA
2024-01-07,47,Murphy Bed,54,82.35,0.0,4446.9,USA
2024-01-07,48,Plant Stand,64,237.54,0.0,15202.56,USA
2024-01-07,49,Shoe Rack,43,1876.62,0.0,80694.66,USA
2024-01-07,50,Coat Rack,16,457.69,0.0,7323.04,USA
2024-01-14,1,Sofa,9,1336.97,0.0,12032.73,USA
2024-01-14,2,Dining Table,54,1992.69,0.0,107605.26,USA
2024-01-14,3,Chair,30,1284.55,0.0,38536.5,USA
2024-01-14,4,Bed Frame,50,1799.37,27.18,65515.06,USA
2024-01-14,5,Nightstand,79,1709.31,28.39,96698.91,USA
2024-01-14,6,Bookshelf,58,1232.54,0.0,71487.32,USA
2024-01-14,7,TV Stand,9,1948.64,0.0,17537.76,USA
2024-01-14,8,Coffee Table,55,1399.2,0.0,76956.0,USA
2024-01-14,9,Recliner,18,85.25,0.0,1534.5,USA
2024-01-14,10,Dresser,24,1705.99,0.0,40943.76,USA
2024-01-14,11,Wardrobe,51,1042.19,0.0,53151.69,USA
2024-01-14,12,Office Desk,55,1947.37,14.83,91221.63,USA
2024-01-14,13,Computer Chair,55,897.07,0.0,49338.85,USA
2024-01-14,14,Futon,58,430.72,0.0,24981.76,USA
2024-01-14,15,End Table,61,1548.68,6.09,88716.29,USA
2024-01-14,16,Bar Stool,67,1910.16,0.0,127980.72,USA
2024-01-14,17,Patio Set,52,1908.49,0.0,99241.48,USA
2024-01-14,18,Sideboard,37,1929.06,0.0,71375.22,USA
2024-01-14,19,Loveseat,33,422.28,0.0,13935.24,USA
2024-01-14,20,Chaise Lounge,66,1135.76,0.0,74960.16,USA
2024-01-14,21,Sectional Sofa,40,187.31,0.0,7492.4,USA
2024-01-14,22,File Cabinet,37,323.16,17.96,9809.46,USA
2024-01-14,23,Console Table,77,1704.91,8.42,120224.46,USA
2024-01-14,24,Bench,52,622.5,25.23,24203.05,USA
2024-01-14,25,Hutch,60,1242.45,0.0,74547.0,USA
2024-01-14,26,Buffet,36,1606.68,21.25,45549.38,USA
2024-01-14,27,Storage Ottoman,57,149.0,0.0,8493.0,USA
2024-01-14,28,Accent Chair,43,233.26,0.0,10030.18,USA
2024-01-14,29,Bunk Bed,46,352.33,29.55,11417.96,USA
2024-01-14,30,Mattress,70,537.99,0.0,37659.3,USA
2024-01-14,31,Headboard,86,297.77,18.06,20983.38,USA
2024-01-14,32,Room Divider,64,1932.24,16.43,103345.47,USA
2024-01-14,33,Floating Shelves,30,1086.14,0.0,32584.2,USA
2024-01-14,34,Kitchen Island,31,1952.91,0.0,60540.21,USA
2024-01-14,35,Rolling Cart,54,827.7,15.84,37615.99,USA
2024-01-14,36,Foldable Table,23,99.43,29.07,1622.09,USA
2024-01-14,37,Standing Desk,68,1392.57,6.45,88586.95,USA
2024-01-14,38,Ladder Shelf,73,517.59,0.0,37784.07,USA
2024-01-14,39,Bookcase,16,595.87,28.87,6781.48,USA
2024-01-14,40,Vanity Table,30,1242.86,0.0,37285.8,USA
2024-01-14,41,Makeup Chair,48,359.36,0.0,17249.28,USA
2024-01-14,42,Chest of Drawers,16,139.71,6.02,2100.79,USA
2024-01-14,43,Entryway Table,64,974.64,0.0,62376.96,USA
2024-01-14,44,Hall Tree,21,725.29,0.0,15231.09,USA
2024-01-14,45,Gaming Chair,21,1900.83,0.0,39917.43,USA
2024-01-14,46,Bean Bag,16,1270.43,17.58,16753.41,USA
2024-01-14,47,Murphy Bed,10,1383.73,20.4,11014.49,USA
2024-01-14,48,Plant Stand,50,101.7,19.64,4086.31,USA
2024-01-14,49,Shoe Rack,70,1370.48,0.0,95933.6,USA
2024-01-14,50,Coat Rack,25,1885.86,14.65,40239.54,USA
2024-01-21,1,Sofa,9,453.03,0.0,4077.27,USA
2024-01-21,2,Dining Table,45,125.98,0.0,5669.1,USA
2024-01-21,3,Chair,57,672.0,0.0,38304.0,USA
2024-01-21,4,Bed Frame,73,558.35,0.0,40759.55,USA
2024-01-21,5,Nightstand,60,1876.46,0.0,112587.6,USA
2024-01-21,6,Bookshelf,70,396.01,23.77,21131.49,USA
2024-01-21,7,TV Stand,50,854.6,14.3,36619.61,USA
2024-01-21,8,Coffee Table,25,1740.88,0.0,43522.0,USA
2024-01-21,9,Recliner,36,1492.82,0.0,53741.52,USA
2024-01-21,10,Dresser,72,1661.59,13.0,104082.0,USA
2024-01-21,11,Wardrobe,16,71.13,0.0,1138.08,USA
2024-01-21,12,Office Desk,30,1915.76,0.0,57472.8,USA
2024-01-21,13,Computer Chair,37,924.47,0.0,34205.39,USA
2024-01-21,14,Futon,88,1517.13,24.79,100410.95,USA
2024-01-21,15,End Table,16,1865.31,29.36,21082.48,USA
2024-01-21,16,Bar Stool,28,1487.22,18.65,33875.9,USA
2024-01-21,17,Patio Set,75,1391.66,25.92,77320.63,USA
2024-01-21,18,Sideboard,46,214.01,0.0,9844.46,USA
2024-01-21,19,Loveseat,34,1427.17,0.0,48523.78,USA
2024-01-21,20,Chaise Lounge,37,1183.55,26.58,32151.61,USA
2024-01-21,21,Sectional Sofa,18,1897.13,29.65,24023.36,USA
2024-01-21,22,File Cabinet,64,1430.95,0.0,91580.8,USA
2024-01-21,23,Console Table,10,877.23,0.0,8772.3,USA
2024-01-21,24,Bench,36,544.68,0.0,19608.48,USA
2024-01-21,25,Hutch,7,281.69,0.0,1971.83,USA
2024-01-21,26,Buffet,43,1378.03,0.0,59255.29,USA
2024-01-21,27,Storage Ottoman,86,1743.77,10.59,134083.01,USA
2024-01-21,28,Accent Chair,30,1956.91,0.0,58707.3,USA
2024-01-21,29,Bunk Bed,58,1079.02,0.0,62583.16,USA
2024-01-21,30,Mattress,27,1406.05,0.0,37963.35,USA
2024-01-21,31,Headboard,10,624.26,0.0,6242.6,USA
2024-01-21,32,Room Divider,54,1807.26,0.0,97592.04,USA
2024-01-21,33,Floating Shelves,18,162.83,0.0,2930.94,USA
2024-01-21,34,Kitchen Island,48,380.88,0.0,18282.24,USA
2024-01-21,35,Rolling Cart,37,201.58,29.36,5268.66,USA
2024-01-21,36,Foldable Table,49,595.54,0.0,29181.46,USA
